UserID,year,item
0,69,69
0,88,88
1,22,22
1,67,67
1,69,69
1,72,72
1,85,85
1,88,88
2,22,22
2,66,66
2,67,67
2,69,69
2,72,72
2,85,85
2,88,88
3,22,22
3,65,65
3,66,66
3,67,67
3,68,68
3,69,69
3,72,72
3,85,85
3,128,128
4,22,22
4,65,65
4,66,66
4,68,68
4,69,69
4,72,72
4,85,85
4,128,128
4,168,168
5,22,22
5,39,39
5,61,61
5,65,65
5,68,68
5,69,69
5,72,72
5,85,85
5,128,128
5,168,168
6,22,22
6,39,39
6,61,61
6,65,65
6,68,68
6,69,69
6,72,72
6,85,85
6,114,114
6,128,128
6,167,167
6,168,168
7,22,22
7,39,39
7,61,61
7,65,65
7,68,68
7,69,69
7,85,85
7,114,114
7,128,128
7,167,167
7,168,168
8,22,22
8,39,39
8,60,60
8,61,61
8,65,65
8,68,68
8,69,69
8,85,85
8,114,114
8,128,128
8,167,167
8,168,168
9,22,22
9,39,39
9,60,60
9,61,61
9,65,65
9,68,68
9,69,69
9,85,85
9,114,114
9,124,124
9,128,128
9,167,167
9,168,168
10,39,39
10,60,60
10,61,61
10,65,65
10,68,68
10,69,69
10,85,85
10,114,114
10,119,119
10,124,124
10,128,128
10,167,167
10,168,168
11,39,39
11,60,60
11,61,61
11,65,65
11,68,68
11,69,69
11,85,85
11,114,114
11,119,119
11,124,124
11,128,128
11,167,167
11,168,168
12,33,33
12,39,39
12,60,60
12,61,61
12,65,65
12,68,68
12,69,69
12,70,70
12,85,85
12,114,114
12,119,119
12,124,124
12,128,128
12,167,167
12,168,168
13,33,33
13,39,39
13,49,49
13,60,60
13,61,61
13,65,65
13,68,68
13,69,69
13,70,70
13,85,85
13,114,114
13,119,119
13,124,124
13,128,128
13,167,167
13,168,168
14,33,33
14,39,39
14,49,49
14,60,60
14,61,61
14,65,65
14,68,68
14,69,69
14,70,70
14,83,83
14,85,85
14,114,114
14,119,119
14,124,124
14,128,128
14,150,150
14,167,167
14,168,168
15,33,33
15,39,39
15,49,49
15,60,60
15,61,61
15,65,65
15,68,68
15,69,69
15,70,70
15,83,83
15,85,85
15,114,114
15,119,119
15,124,124
15,128,128
15,150,150
15,167,167
15,168,168
16,33,33
16,39,39
16,49,49
16,60,60
16,65,65
16,69,69
16,70,70
16,83,83
16,85,85
16,114,114
16,119,119
16,124,124
16,128,128
16,150,150
16,167,167
16,168,168
17,33,33
17,39,39
17,49,49
17,60,60
17,65,65
17,69,69
17,70,70
17,83,83
17,85,85
17,114,114
17,119,119
17,124,124
17,128,128
17,150,150
17,167,167
17,168,168
18,33,33
18,39,39
18,49,49
18,60,60
18,65,65
18,69,69
18,70,70
18,83,83
18,85,85
18,114,114
18,119,119
18,124,124
18,128,128
18,150,150
18,167,167
18,168,168
19,4,4
19,33,33
19,39,39
19,49,49
19,60,60
19,65,65
19,69,69
19,70,70
19,73,73
19,83,83
19,85,85
19,114,114
19,119,119
19,120,120
19,124,124
19,150,150
19,167,167
19,168,168
20,4,4
20,33,33
20,39,39
20,49,49
20,60,60
20,65,65
20,69,69
20,70,70
20,73,73
20,81,81
20,83,83
20,85,85
20,106,106
20,114,114
20,119,119
20,120,120
20,124,124
20,150,150
20,167,167
20,168,168
21,4,4
21,33,33
21,39,39
21,49,49
21,60,60
21,65,65
21,69,69
21,70,70
21,73,73
21,81,81
21,83,83
21,106,106
21,114,114
21,119,119
21,120,120
21,124,124
21,150,150
21,167,167
21,168,168
22,4,4
22,33,33
22,39,39
22,44,44
22,49,49
22,58,58
22,60,60
22,65,65
22,69,69
22,70,70
22,73,73
22,81,81
22,83,83
22,106,106
22,114,114
22,119,119
22,120,120
22,124,124
22,150,150
22,167,167
22,168,168
23,4,4
23,33,33
23,44,44
23,49,49
23,58,58
23,60,60
23,65,65
23,70,70
23,73,73
23,81,81
23,83,83
23,106,106
23,114,114
23,119,119
23,120,120
23,124,124
23,150,150
23,167,167
23,168,168
24,4,4
24,33,33
24,44,44
24,49,49
24,58,58
24,60,60
24,65,65
24,70,70
24,73,73
24,81,81
24,83,83
24,106,106
24,114,114
24,119,119
24,120,120
24,124,124
24,150,150
24,167,167
24,168,168
25,4,4
25,33,33
25,44,44
25,49,49
25,58,58
25,60,60
25,65,65
25,70,70
25,71,71
25,73,73
25,81,81
25,83,83
25,106,106
25,114,114
25,119,119
25,120,120
25,124,124
25,150,150
25,167,167
25,168,168
26,4,4
26,33,33
26,44,44
26,49,49
26,58,58
26,60,60
26,65,65
26,70,70
26,71,71
26,73,73
26,75,75
26,81,81
26,83,83
26,106,106
26,114,114
26,119,119
26,120,120
26,124,124
26,150,150
26,167,167
26,168,168
27,4,4
27,33,33
27,44,44
27,49,49
27,58,58
27,60,60
27,65,65
27,70,70
27,71,71
27,73,73
27,75,75
27,79,79
27,81,81
27,83,83
27,106,106
27,114,114
27,119,119
27,120,120
27,124,124
27,150,150
27,167,167
27,168,168
28,4,4
28,33,33
28,44,44
28,49,49
28,58,58
28,60,60
28,65,65
28,70,70
28,71,71
28,73,73
28,75,75
28,79,79
28,81,81
28,83,83
28,106,106
28,114,114
28,119,119
28,120,120
28,124,124
28,150,150
28,167,167
28,168,168
29,4,4
29,33,33
29,44,44
29,49,49
29,58,58
29,60,60
29,65,65
29,70,70
29,71,71
29,73,73
29,75,75
29,79,79
29,81,81
29,83,83
29,106,106
29,114,114
29,119,119
29,120,120
29,124,124
29,150,150
29,162,162
29,167,167
29,168,168
30,4,4
30,33,33
30,44,44
30,49,49
30,58,58
30,60,60
30,65,65
30,70,70
30,71,71
30,73,73
30,75,75
30,79,79
30,81,81
30,83,83
30,106,106
30,119,119
30,124,124
30,150,150
30,162,162
30,167,167
30,168,168
31,4,4
31,33,33
31,44,44
31,49,49
31,58,58
31,60,60
31,65,65
31,70,70
31,71,71
31,73,73
31,75,75
31,79,79
31,81,81
31,83,83
31,106,106
31,119,119
31,124,124
31,143,143
31,150,150
31,162,162
31,167,167
31,168,168
32,4,4
32,33,33
32,44,44
32,49,49
32,58,58
32,60,60
32,65,65
32,70,70
32,71,71
32,73,73
32,75,75
32,79,79
32,81,81
32,83,83
32,106,106
32,143,143
32,150,150
32,162,162
32,167,167
32,168,168
33,4,4
33,33,33
33,44,44
33,49,49
33,58,58
33,60,60
33,62,62
33,65,65
33,70,70
33,71,71
33,73,73
33,75,75
33,79,79
33,81,81
33,83,83
33,106,106
33,143,143
33,150,150
33,162,162
33,167,167
33,168,168
34,4,4
34,33,33
34,44,44
34,49,49
34,58,58
34,60,60
34,62,62
34,65,65
34,70,70
34,71,71
34,73,73
34,75,75
34,79,79
34,81,81
34,83,83
34,106,106
34,143,143
34,148,148
34,150,150
34,162,162
34,167,167
34,168,168
35,4,4
35,33,33
35,44,44
35,49,49
35,58,58
35,60,60
35,62,62
35,65,65
35,70,70
35,71,71
35,73,73
35,75,75
35,79,79
35,81,81
35,83,83
35,106,106
35,143,143
35,148,148
35,150,150
35,162,162
35,167,167
35,168,168
36,4,4
36,33,33
36,44,44
36,49,49
36,58,58
36,60,60
36,62,62
36,65,65
36,70,70
36,71,71
36,73,73
36,75,75
36,79,79
36,81,81
36,83,83
36,90,90
36,106,106
36,143,143
36,148,148
36,150,150
36,162,162
36,167,167
36,168,168
37,4,4
37,33,33
37,44,44
37,49,49
37,58,58
37,60,60
37,62,62
37,65,65
37,70,70
37,71,71
37,73,73
37,75,75
37,79,79
37,81,81
37,83,83
37,90,90
37,106,106
37,143,143
37,148,148
37,150,150
37,162,162
37,167,167
37,168,168
38,4,4
38,33,33
38,44,44
38,49,49
38,58,58
38,60,60
38,62,62
38,65,65
38,70,70
38,71,71
38,73,73
38,75,75
38,79,79
38,81,81
38,83,83
38,90,90
38,106,106
38,143,143
38,148,148
38,150,150
38,162,162
38,167,167
38,168,168
39,4,4
39,33,33
39,44,44
39,49,49
39,58,58
39,60,60
39,62,62
39,65,65
39,70,70
39,71,71
39,73,73
39,75,75
39,79,79
39,81,81
39,83,83
39,90,90
39,106,106
39,143,143
39,148,148
39,150,150
39,162,162
39,167,167
39,168,168
40,4,4
40,33,33
40,44,44
40,49,49
40,58,58
40,60,60
40,62,62
40,65,65
40,70,70
40,71,71
40,73,73
40,75,75
40,76,76
40,79,79
40,81,81
40,83,83
40,90,90
40,106,106
40,143,143
40,148,148
40,150,150
40,162,162
40,167,167
40,168,168
41,4,4
41,18,18
41,33,33
41,44,44
41,49,49
41,58,58
41,60,60
41,62,62
41,65,65
41,70,70
41,71,71
41,73,73
41,75,75
41,76,76
41,79,79
