item_id,Game name,recommendations
0,Grand Theft Auto: San Andreas,"[Row(user_id=107167, rating=5.325936794281006), Row(user_id=60476, rating=5.2053422927856445), Row(user_id=191672, rating=5.1748456954956055), Row(user_id=123876, rating=5.155991077423096), Row(user_id=189068, rating=4.988375186920166), Row(user_id=23810, rating=4.976731777191162), Row(user_id=16870, rating=4.976731777191162), Row(user_id=5160, rating=4.976731777191162), Row(user_id=17040, rating=4.976731777191162), Row(user_id=21450, rating=4.976731777191162)]"
1,League of Stickman - Best action game(Dreamsky),"[Row(user_id=184876, rating=7.269229888916016), Row(user_id=176712, rating=6.702705383300781), Row(user_id=142159, rating=6.463419437408447), Row(user_id=136844, rating=6.321738243103027), Row(user_id=135133, rating=6.21370792388916), Row(user_id=64833, rating=6.20102596282959), Row(user_id=84518, rating=6.1643595695495605), Row(user_id=63081, rating=6.149496555328369), Row(user_id=86677, rating=6.032311916351318), Row(user_id=224785, rating=6.0197224617004395)]"
2,Shadow Knight Arena: Online Fighting Game,"[Row(user_id=123864, rating=5.71162223815918), Row(user_id=69445, rating=5.518843650817871), Row(user_id=168286, rating=5.378776550292969), Row(user_id=90217, rating=5.326032638549805), Row(user_id=18368, rating=5.318048000335693), Row(user_id=179551, rating=5.316042423248291), Row(user_id=22404, rating=5.310475826263428), Row(user_id=90975, rating=5.2670063972473145), Row(user_id=213427, rating=5.243399620056152), Row(user_id=16310, rating=5.238760471343994)]"
3,Cyber Fighters: League of Cyberpunk Stickman 2077,"[Row(user_id=44634, rating=8.755295753479004), Row(user_id=130595, rating=8.036598205566406), Row(user_id=123864, rating=7.956167697906494), Row(user_id=1077, rating=7.933771133422852), Row(user_id=67335, rating=7.863360404968262), Row(user_id=138512, rating=7.78564977645874), Row(user_id=203553, rating=7.78564977645874), Row(user_id=36897, rating=7.71232795715332), Row(user_id=141796, rating=7.6832966804504395), Row(user_id=99512, rating=7.599911689758301)]"
4,Stickman Master: League Of Shadow - Ninja Fight,"[Row(user_id=30764, rating=10.373587608337402), Row(user_id=134768, rating=10.132533073425293), Row(user_id=187949, rating=9.55673599243164), Row(user_id=90865, rating=9.467479705810547), Row(user_id=8136, rating=9.3624849319458), Row(user_id=141796, rating=9.20778751373291), Row(user_id=102973, rating=8.92879867553711), Row(user_id=27960, rating=8.863274574279785), Row(user_id=135025, rating=8.74071979522705), Row(user_id=110924, rating=8.555963516235352)]"
5,Assassin's Creed Identity,"[Row(user_id=23508, rating=7.972052574157715), Row(user_id=97621, rating=7.667356967926025), Row(user_id=162833, rating=7.549169540405273), Row(user_id=175222, rating=7.487931251525879), Row(user_id=186541, rating=7.3684210777282715), Row(user_id=3276, rating=7.2205986976623535), Row(user_id=88857, rating=7.19450044631958), Row(user_id=190705, rating=7.141082286834717), Row(user_id=192151, rating=7.075740337371826), Row(user_id=191335, rating=7.0499677658081055)]"
6,The Sun Origin: Post-apocalyptic action shooter,"[Row(user_id=48858, rating=6.381217002868652), Row(user_id=145852, rating=6.349895477294922), Row(user_id=86463, rating=6.334262371063232), Row(user_id=161599, rating=6.2741193771362305), Row(user_id=72729, rating=6.249888896942139), Row(user_id=186541, rating=6.142707347869873), Row(user_id=162833, rating=6.118590831756592), Row(user_id=192729, rating=6.112263202667236), Row(user_id=40822, rating=6.096251010894775), Row(user_id=196681, rating=6.096113681793213)]"
7,Shadow of Death: Dark Knight - Stickman Fighting,"[Row(user_id=130406, rating=7.4748029708862305), Row(user_id=107167, rating=7.465628623962402), Row(user_id=184876, rating=7.3949198722839355), Row(user_id=118513, rating=7.286237716674805), Row(user_id=48858, rating=7.282325267791748), Row(user_id=60476, rating=7.155656337738037), Row(user_id=191527, rating=7.101596355438232), Row(user_id=63081, rating=7.015077590942383), Row(user_id=208713, rating=6.915908336639404), Row(user_id=105170, rating=6.894838809967041)]"
8,Five Nights at Freddy's,"[Row(user_id=37725, rating=15.251239776611328), Row(user_id=86588, rating=12.485235214233398), Row(user_id=80484, rating=12.40400505065918), Row(user_id=193785, rating=11.814626693725586), Row(user_id=35907, rating=11.423518180847168), Row(user_id=135085, rating=11.415705680847168), Row(user_id=90217, rating=11.245388984680176), Row(user_id=8136, rating=10.85888385772705), Row(user_id=141420, rating=10.650179862976074), Row(user_id=213371, rating=10.581182479858398)]"
9,Hitman Sniper,"[Row(user_id=14092, rating=6.402622699737549), Row(user_id=139770, rating=6.274198532104492), Row(user_id=137024, rating=6.250653266906738), Row(user_id=124701, rating=6.204612731933594), Row(user_id=151754, rating=6.175458908081055), Row(user_id=104195, rating=6.139032363891602), Row(user_id=238876, rating=6.137699127197266), Row(user_id=28167, rating=6.119543552398682), Row(user_id=169114, rating=5.992574214935303), Row(user_id=105136, rating=5.983586311340332)]"
10,Zombie Age 3 Premium: Rules of Survival,"[Row(user_id=18368, rating=6.992290019989014), Row(user_id=44520, rating=6.763779163360596), Row(user_id=152046, rating=6.640915393829346), Row(user_id=111187, rating=6.62950325012207), Row(user_id=8777, rating=6.617329120635986), Row(user_id=68021, rating=6.591939449310303), Row(user_id=181402, rating=6.508825778961182), Row(user_id=47259, rating=6.384343147277832), Row(user_id=190372, rating=6.383033752441406), Row(user_id=47365, rating=6.350302696228027)]"
11,Dungeon Shooter : The Forgotten Temple,"[Row(user_id=61101, rating=6.486600875854492), Row(user_id=24384, rating=5.033090114593506), Row(user_id=6760, rating=4.981627464294434), Row(user_id=9330, rating=4.981627464294434), Row(user_id=1510, rating=4.981627464294434), Row(user_id=22740, rating=4.981627464294434), Row(user_id=10810, rating=4.981627464294434), Row(user_id=11750, rating=4.981627464294434), Row(user_id=14040, rating=4.981627464294434), Row(user_id=23920, rating=4.981627464294434)]"
12,Stickman Ghost: Ninja Warrior Action Offline Game,"[Row(user_id=17450, rating=4.977747917175293), Row(user_id=11340, rating=4.977747917175293), Row(user_id=2980, rating=4.977747917175293), Row(user_id=9220, rating=4.977747917175293), Row(user_id=2910, rating=4.977747917175293), Row(user_id=18680, rating=4.977747917175293), Row(user_id=19810, rating=4.977747917175293), Row(user_id=20060, rating=4.977747917175293), Row(user_id=25600, rating=4.977747917175293), Row(user_id=54810, rating=4.977747917175293)]"
13,Stickman Legends: Shadow War Offline Fighting Game,"[Row(user_id=14092, rating=8.583206176757812), Row(user_id=165174, rating=8.225265502929688), Row(user_id=91399, rating=7.986752986907959), Row(user_id=29897, rating=7.9257941246032715), Row(user_id=164103, rating=7.824670314788818), Row(user_id=177793, rating=7.8130950927734375), Row(user_id=156, rating=7.774632453918457), Row(user_id=238876, rating=7.769053936004639), Row(user_id=145852, rating=7.740516662597656), Row(user_id=122819, rating=7.693115234375)]"
